Metric,Value
timing__unannotated_net__count__corner:min_ff_n40C_1v95,1488
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,5329
design__max_fanout_violation__count__corner:max_tt_025C_1v80,11
design__max_cap_violation__count__corner:max_tt_025C_1v80,1840
clock__skew__worst_hold__corner:max_tt_025C_1v80,-1.367838325765868
clock__skew__worst_setup__corner:max_tt_025C_1v80,1.6575608021983306
timing__hold__ws__corner:max_tt_025C_1v80,0.31947512206624945
timing__setup__ws__corner:max_tt_025C_1v80,0.9266827567593433
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.319475
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,2.969383
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,1488
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,19341
design__max_fanout_violation__count__corner:max_ss_100C_1v60,11
design__max_cap_violation__count__corner:max_ss_100C_1v60,1888
clock__skew__worst_hold__corner:max_ss_100C_1v60,-2.436760195927724
clock__skew__worst_setup__corner:max_ss_100C_1v60,2.4899367716867364
timing__hold__ws__corner:max_ss_100C_1v60,0.7506329104086631
timing__setup__ws__corner:max_ss_100C_1v60,-1.8149393612820146
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-34.79401398814437
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-1.8149393612820146
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.750633
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,75
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-1.430575
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,74
timing__unannotated_net__count__corner:max_ss_100C_1v60,1488
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,3048
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,11
design__max_cap_violation__count__corner:max_ff_n40C_1v95,1839
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-1.078101194389066
clock__skew__worst_setup__corner:max_ff_n40C_1v95,1.4214105850220473
timing__hold__ws__corner:max_ff_n40C_1v95,0.1642661608786483
timing__setup__ws__corner:max_ff_n40C_1v95,2.079882103193235
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.164266
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,4.701413
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,1488
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,1488
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.797
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79997
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00299796
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00288573
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000306103
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00288573
design_powergrid__voltage__worst,0.00288573
design_powergrid__voltage__worst__net:VPWR,1.797
design_powergrid__drop__worst,0.00299796
design_powergrid__drop__worst__net:VPWR,0.00299796
design_powergrid__voltage__worst__net:VGND,0.00288573
design_powergrid__drop__worst__net:VGND,0.00288573
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000310000000000000013500485451789501212260802276432514190673828125
ir__drop__worst,0.003000000000000000062450045135165055398829281330108642578125
design__xor_difference__count,0
magic__drc_error__count,7658
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
