net,length_um
net5995,1.80684mm
u_npu.tcm_wdata_a\[8\],1.80681mm
net34,1.80629mm
_016509_,1.80598mm
net730,1.80088mm
s9_rdata\[8\],1.799275mm
clknet_leaf_5_clk_i,1.79922mm
net1188,1.79726mm
net1115,1.79691mm
net304,1.79571mm
u_npu.tcm_wdata_a\[4\],1.79554mm
_012193_,1.795065mm
u_npu.ram_rdata_a\[7\],1.78888mm
s9_rdata\[3\],1.78802mm
clknet_7_92__leaf_clk_i_regs,1.78704mm
_016321_,1.78556mm
iram_s_wdata\[16\],1.785255mm
net6199,1.77803mm
net1589,1.777995mm
_015531_,1.77762mm
net790,1.77542mm
net802,1.77474mm
net127,1.7744mm
u_npu.tcm_wdata_a\[3\],1.77196mm
_048720_,1.77187mm
net955,1.77184mm
_015297_,1.76834mm
iram_s_wdata\[28\],1.76669mm
net970,1.76444mm
_046622_,1.76396mm
net793,1.75905mm
net1452,1.75828mm
u_npu.u_npu_engine.mac_kw_q\[3\],1.75778mm
net1041,1.75372mm
iram_s_wdata\[30\],1.74873mm
net143,1.74864mm
_016535_,1.746875mm
net39,1.74652mm
merged_m_araddr\[5\],1.74076mm
u_npu.u_npu_engine.rq_scaled\[6\],1.738mm
net5852,1.73798mm
net138,1.73755mm
net5968,1.737525mm
_044782_,1.73304mm
net1940,1.72732mm
merged_m_araddr\[6\],1.7242mm
net2002,1.72198mm
net1072,1.71853mm
net37,1.71744mm
net36,1.71726mm
net137,1.7169mm
net1703,1.71646mm
net5846,1.71574mm
_016569_,1.71497mm
_016515_,1.71441mm
_015466_,1.71183mm
_016325_,1.70958mm
_015535_,1.70707mm
_016553_,1.706625mm
net40,1.70559mm
_016255_,1.70448mm
_015247_,1.7018mm
clknet_3_7_0_clk_i_regs,1.70154mm
net38,1.69707mm
_000012_,1.69574mm
clknet_leaf_8_clk_i,1.69268mm
_016529_,1.69232mm
_016309_,1.687585mm
iram_s_wdata\[13\],1.68423mm
u_npu.tcm_wdata_a\[9\],1.68252mm
net1721,1.6818mm
_044683_,1.67924mm
_046875_,1.67754mm
net1318,1.67719mm
net1604,1.66809mm
_016559_,1.66761mm
u_npu.u_npu_engine.rq_scaled\[0\],1.664635mm
iram_s_wdata\[15\],1.65988mm
net6196,1.65847mm
net1583,1.65811mm
_015421_,1.65742mm
net2141,1.656985mm
net1046,1.65591mm
iram_s_araddr\[9\],1.65571mm
_016629_,1.6534mm
net6242,1.653335mm
_015298_,1.65178mm
_015233_,1.64746mm
net1851,1.64736mm
_013930_,1.64732mm
net6260,1.646875mm
net6012,1.64672mm
net2003,1.64561mm
net6197,1.64486mm
net144,1.64384mm
clknet_leaf_0_clk_i,1.64276mm
net5241,1.64018mm
s10_rdata\[5\],1.639465mm
net6233,1.63866mm
net2116,1.63749mm
u_npu.ram_rdata_a\[31\],1.636345mm
net5866,1.6354mm
net1907,1.63531mm
_015514_,1.635055mm
net6210,1.63114mm
net971,1.62986mm
_000044_,1.6293mm
net6268,1.62798mm
iram_s_wdata\[10\],1.62774mm
net803,1.62358mm
_015234_,1.6235mm
net1754,1.62341mm
iram_s_wdata\[11\],1.62304mm
_015222_,1.62018mm
_016296_,1.61832mm
net1854,1.61681mm
_015311_,1.61586mm
_035234_,1.614025mm
net5882,1.61195mm
net6231,1.61188mm
net5970,1.61075mm
_000021_,1.61056mm
net74,1.60984mm
net2052,1.60984mm
net6117,1.60863mm
net1111,1.60851mm
_015331_,1.6085mm
data_axil_araddr\[20\],1.60185mm
s9_rdata\[12\],1.60071mm
_015359_,1.59974mm
net1768,1.59812mm
net1070,1.5978mm
_016341_,1.59566mm
iram_s_araddr\[5\],1.5955mm
iram_s_araddr\[4\],1.595mm
u_npu.ram_rdata_a\[15\],1.594685mm
_016281_,1.5943mm
net5039,1.59396mm
net1911,1.59291mm
_015513_,1.59158mm
net1242,1.58859mm
_015410_,1.58778mm
net6301,1.58681mm
net1232,1.58526mm
iram_s_araddr\[7\],1.58015mm
iram_s_araddr\[6\],1.57977mm
net2055,1.57954mm
net1227,1.57934mm
net6206,1.57872mm
