net,length_um
net2797,1.26871mm
net2763,1.268365mm
net2360,1.26821mm
_032051_,1.26812mm
_032291_,1.26801mm
merged_m_araddr\[2\],1.267925mm
_032110_,1.26762mm
u_npu.u_npu_sram.sel_a_q\[0\],1.26756mm
net1968,1.26744mm
_071297_,1.26574mm
net1952,1.26532mm
net1417,1.26525mm
_033807_,1.26513mm
_032035_,1.26508mm
net2961,1.26444mm
net3634,1.26418mm
net3032,1.2636mm
net3829,1.26342mm
net3075,1.263mm
_036727_,1.262675mm
net2131,1.262215mm
net2872,1.26176mm
net2518,1.260315mm
net1896,1.259785mm
net1908,1.25956mm
_033822_,1.25934mm
_032200_,1.25924mm
_033835_,1.25871mm
_032054_,1.25867mm
_033925_,1.25842mm
_033652_,1.257895mm
_033768_,1.25712mm
net2135,1.257065mm
_032186_,1.25616mm
s10_rdata\[11\],1.25589mm
_033940_,1.25578mm
_032275_,1.25512mm
net2384,1.25452mm
_032276_,1.25408mm
_071556_,1.25396mm
net2762,1.25366mm
net2136,1.25336mm
_033910_,1.25276mm
_033760_,1.25205mm
net1969,1.25189mm
u_npu.u_npu_sram.sel_b_q\[1\],1.25188mm
_032279_,1.25163mm
_032189_,1.25145mm
net2979,1.25139mm
_032234_,1.25082mm
net1943,1.24918mm
u_npu.tcm_wdata_a\[12\],1.24861mm
_033747_,1.24857mm
_032141_,1.24854mm
_079568_,1.24839mm
net2395,1.24805mm
net1906,1.2478mm
_033903_,1.24768mm
_033889_,1.24754mm
_032264_,1.24666mm
net1897,1.24666mm
net2130,1.246415mm
net7614,1.24536mm
_032038_,1.24524mm
net1971,1.245015mm
_032039_,1.24484mm
_032006_,1.24468mm
net2369,1.24467mm
_032036_,1.24464mm
net3543,1.24446mm
_032024_,1.24424mm
_034235_,1.244165mm
_032260_,1.24406mm
net2065,1.24384mm
net508,1.24238mm
net9976,1.24208mm
_033805_,1.241755mm
_031991_,1.24144mm
net7883,1.24126mm
_033813_,1.24101mm
_036708_,1.240795mm
_032306_,1.23991mm
net1416,1.23979mm
_032309_,1.23884mm
net2373,1.23879mm
net2147,1.238435mm
net1257,1.237875mm
net2144,1.237795mm
_033918_,1.23666mm
_033676_,1.2365mm
clknet_leaf_8_clk_i,1.2363mm
_071289_,1.23623mm
_033837_,1.23516mm
net1680,1.23516mm
_033775_,1.23429mm
net3462,1.234mm
s10_rdata\[1\],1.23316mm
_033874_,1.23284mm
net2526,1.23242mm
net1912,1.23183mm
net1118,1.23179mm
_033798_,1.23164mm
net3116,1.23152mm
net6155,1.23106mm
net2149,1.230915mm
_000225_,1.23085mm
_032005_,1.23082mm
_033859_,1.2303mm
_032261_,1.23014mm
_028784_,1.23001mm
net2774,1.229945mm
net6150,1.22984mm
net2399,1.22962mm
net3636,1.22931mm
_033714_,1.22917mm
net2784,1.22789mm
net2381,1.22728mm
net2394,1.22632mm
net1827,1.22526mm
_033852_,1.22481mm
net2788,1.22442mm
net7710,1.22436mm
net2953,1.2243mm
net3594,1.22377mm
_032144_,1.22184mm
net2119,1.2214mm
net3446,1.22137mm
_032290_,1.22096mm
net2383,1.22093mm
_033792_,1.22078mm
net3689,1.22051mm
u_npu.tcm_wdata_a\[1\],1.22041mm
net2795,1.220395mm
_033933_,1.21946mm
_032021_,1.21902mm
net6529,1.219mm
net10005,1.21854mm
net3698,1.21702mm
net2120,1.21598mm
_031976_,1.21505mm
net3040,1.21504mm
_033762_,1.21417mm
u_npu.tcm_wdata_a\[9\],1.21413mm
net2769,1.21388mm
_075936_,1.21228mm
_033790_,1.21166mm
net3053,1.21131mm
net1951,1.21124mm
u_npu.tcm_wdata_a\[8\],1.21105mm
net318,1.21101mm
net3071,1.21086mm
u_npu.tcm_wdata_a\[11\],1.21063mm
net3049,1.2105mm
_033970_,1.21034mm
_033912_,1.20868mm
net3615,1.20822mm
_033985_,1.20784mm
net3490,1.20773mm
net3110,1.20762mm
u_npu.u_npu_engine.rq_ab\[30\],1.207385mm
net7894,1.20734mm
u_npu.tcm_wdata_a\[0\],1.20716mm
s12_rdata\[10\],1.206835mm
u_npu.tcm_wdata_a\[3\],1.20681mm
net2794,1.2059mm
